GeneID	fed	fed	fed	fed	starved	starved	starved	starved
AstA-R2	14	16	21	16	19	26	7	21
AstC	89	159	65	166	29	80	37	83
AstC-R1	31	21	31	18	44	84	9	26
AstC-R2	63	49	38	41	57	109	61	36
AstCC	10	3	5	2	9	18	1	14
asun	13	6	9	4	11	21	4	18
Asx	43	31	26	26	20	54	21	39
Atac1	15	3	10	3	7	14	10	12
Atac2	9	6	10	3	11	51	2	23
Atac3	13	10	16	8	9	37	3	12
ATbp	9	9	11	13	10	14	5	18
Ate1	35	45	18	33	23	32	17	33
Atet	61	35	55	36	59	70	30	59
Atf-2	9	9	10	4	10	11	3	10
Atf3	67	97	67	80	81	108	54	71
Atf6	67	83	44	88	68	74	48	60
Atg1	74	75	69	82	84	103	62	54
Atg10	48	48	43	48	49	47	47	37
Atg12	8	24	5	13	3	9	12	17
Atg13	37	46	27	38	29	35	21	39
Atg14	21	25	19	18	17	13	8	23
Atg16	27	9	24	12	12	61	7	38
Atg17	59	59	33	60	53	68	32	61
Atg18a	55	66	32	37	34	54	32	52
Atg18b	43	38	35	38	48	67	29	49
Atg2	41	55	39	50	25	63	26	56
Atg3	21	54	22	46	23	40	20	28
Atg4a	30	49	16	41	32	28	18	44
Atg4b	23	8	18	11	11	68	9	19
Atg6	28	15	19	8	12	13	14	13
Atg7	15	16	14	14	17	32	6	21
Atg8a	157	182	147	181	159	136	160	142
Atg8b	1	1	4	0	0	3	0	7
Atg9	14	16	16	24	17	28	9	29
atilla	37	47	34	52	57	20	45	23
atk	38	26	36	11	44	65	16	49
atl	60	70	41	85	39	78	37	53
atms	69	92	75	94	86	86	90	60
ato	6	0	7	1	1	6	0	8
Atox1	66	78	39	75	25	40	44	37
ATP7	41	23	41	22	29	62	11	42
ATP8B	49	40	56	30	69	99	36	51
Atpalpha	194	182	168	172	161	180	194	175
ATPCL	93	110	75	104	80	56	75	80
ATPsynB	86	156	75	148	94	64	120	88
ATPsynbeta	138	175	102	164	127	102	161	113
ATPsynbetaL	15	1	7	1	2	26	2	17
ATPsynC	194	195	163	189	152	158	191	155
ATPsynCF6	119	160	100	137	111	94	121	99
ATPsynD	110	149	71	132	99	69	94	79
ATPsyndelta	71	118	74	126	76	58	77	64
ATPsynE	79	127	62	137	94	57	82	78
ATPsynepsilonL	3	1	2	0	1	7	2	5
ATPsynF	92	161	76	155	112	68	115	83
ATPsynG	124	163	114	155	119	94	140	115
ATPsyngamma	82	138	55	133	89	56	83	68
ATPsynGL	2	1	1	0	3	6	0	6
ATPsynO	114	148	57	133	83	63	104	72
att-ORFA	30	54	32	46	39	35	22	29
AttA	44	184	40	171	24	28	25	52
AttB	65	179	50	183	28	52	27	62
AttC	161	148	128	157	95	119	113	173
AttD	1	0	4	1	0	11	1	7
Atx-1	5	4	4	1	2	11	4	7
Atx2	82	97	70	103	70	93	63	65
Atxn7	25	22	23	24	19	39	7	26
aub	10	9	16	4	7	46	6	19
aurA	11	1	9	0	6	11	0	14
aurB	9	6	3	5	7	15	3	14
aust	6	2	10	0	0	2	0	8
aux	43	69	38	62	47	64	30	53
ave	10	19	10	15	10	13	12	13
Aven	3	4	7	5	4	13	2	14
awd	123	161	66	158	101	75	107	91
Awh	41	43	28	36	33	69	24	65
Axn	35	14	31	20	27	56	12	41
axo	62	28	59	37	66	119	12	47
Axs	3	6	10	4	6	14	1	17
Axud1	35	34	22	31	33	53	18	34
az2	12	5	10	7	18	23	2	23
azot	7	2	10	1	2	11	1	4
b	17	3	11	1	13	19	4	22
B-H1	25	15	17	10	19	39	11	27
B-H2	25	17	26	23	32	42	7	37
B4	72	102	61	100	84	110	72	83
B52	69	107	67	77	67	71	72	60
b6	18	21	11	22	16	19	7	24
B9d1	3	0	3	1	0	9	0	14
B9d2	16	0	9	1	2	19	2	24
bab1	74	111	67	70	74	117	38	57
bab2	46	56	49	59	59	95	33	59
babo	49	57	49	46	57	78	43	49
babos	23	36	25	29	26	40	6	27
Bacc	154	192	134	178	154	148	180	141
baf	23	44	15	26	13	26	10	16
bai	48	85	30	76	28	31	27	41
Baldspot	80	103	84	98	60	116	63	82
ball	12	21	19	10	13	31	8	25
bam	10	0	10	0	8	10	0	15
bap	3	0	5	3	3	16	2	12
Bap111	15	19	22	17	14	33	11	21
Bap170	23	12	26	11	18	37	7	29
Bap55	24	15	22	16	15	11	4	19
Bap60	34	31	30	33	19	23	15	21
barc	29	29	21	49	24	39	17	24
bark	43	7	35	18	28	78	8	52
barr	19	7	11	10	10	31	5	27
baz	131	122	113	141	100	131	115	98
bbc	54	63	46	60	40	52	39	49
bbg	96	98	130	92	111	128	97	57
BBS1	4	1	7	1	1	14	2	19
BBS4	7	0	11	1	11	23	3	18
BBS8	11	3	8	4	6	9	2	15
bbx	61	59	61	75	51	75	30	60
bc10	39	45	45	35	29	31	26	40
BCAS2	16	23	17	18	9	17	6	9
bcd	26	2	18	2	12	38	3	20
bchs	65	33	57	38	58	106	24	56
BCL7-like	15	7	12	9	7	4	6	17
bcn92	13	31	9	20	17	10	8	18
Bdbt	7	14	12	11	11	7	8	13
bdg	21	5	24	11	18	46	7	36
bdl	22	21	23	32	19	59	4	35
be	32	16	20	22	12	35	8	30
BEAF-32	15	20	13	22	17	20	13	27
beag	21	12	15	7	11	23	4	19
beat-Ia	52	33	54	54	58	95	33	62
beat-Ib	91	52	89	70	75	115	53	79
beat-Ic	66	32	60	31	65	123	25	66
beat-IIa	62	67	67	83	92	119	62	65
beat-IIb	38	17	38	28	46	112	20	53
beat-IIIb	68	88	62	67	85	90	86	63
beat-IIIc	136	90	109	137	115	130	156	93
beat-IV	52	37	49	37	65	105	26	46
beat-Va	25	14	33	23	36	74	13	27
beat-Vb	53	62	134	56	69	85	41	59
beat-Vc	45	19	54	23	72	114	20	45
beat-VI	83	68	54	81	78	106	80	74
beat-VII	84	55	68	92	67	128	67	68
beg	7	4	7	7	3	20	5	10
bel	51	107	44	108	53	56	46	54
Bem46	4	3	11	3	7	18	1	15
ben	143	163	119	147	123	125	141	116
Best1	36	20	27	21	30	69	22	36
Best2	38	26	33	22	25	58	15	28
Best3	8	0	15	1	3	14	1	11
Best4	14	1	9	0	5	15	1	12
Bet1	18	41	14	23	10	18	5	13
Bet3	25	32	36	32	35	21	23	19
Bet5	4	17	14	26	14	21	8	11
beta-Man	30	32	29	24	30	68	4	33
beta-PheRS	18	13	11	16	8	17	4	12
beta-Spec	93	90	53	93	69	85	62	61
beta'COP	28	46	37	46	26	35	28	48
beta3GalTII	10	3	12	2	4	20	3	10
beta4GalNAcTA	18	32	14	33	8	16	12	27
beta4GalT7	13	7	15	2	4	11	1	8
betaCOP	39	56	19	50	22	30	9	35
betaggt-I	14	13	11	9	6	28	4	22
betaggt-II	34	25	15	18	12	25	12	23
betaGlu	13	5	13	7	6	21	3	21
betaNACtes1	6	1	3	1	3	6	1	6
betaNACtes2	3	1	4	0	2	7	0	6
betaNACtes6	7	3	2	0	1	2	0	6
betaTry	28	8	27	4	21	5	31	17
betaTub56D	140	151	100	148	105	128	115	96
betaTub60D	31	13	22	16	21	36	10	37
betaTub85D	14	1	7	3	10	21	1	15
betaTub97EF	51	122	54	102	86	108	67	59
BG642163	9	2	9	1	1	14	4	15
BG642167	1	2	4	0	1	4	0	5
BG642312	4	3	9	2	1	6	0	14
Bgb	15	22	12	13	18	21	13	14
bgcn	19	16	30	19	13	55	5	29
bgm	38	65	34	57	39	31	28	36
